0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:11:04 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:11:10 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:11:10 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:11:11 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:11:11 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:11:16 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:11:16 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:03 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:03 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:15 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:15 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:16 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:16 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:18 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:18 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:19 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:19 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:20 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:20 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:22 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:22 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:23 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:23 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:25 +0900] "GET /project/productdetail.jsp HTTP/1.1" 200 8219
0:0:0:0:0:0:0:1 - - [10/Apr/2021:18:16:25 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
